species,latitude,longitude,country,year,dataset,basisOfRecord
"Budorcas tibetana (Milne-Edwards, 1874)",32.576574,104.760574,China,2025,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.57659,104.760485,China,2025,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.578747,104.757429,China,2025,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.574285,104.752107,China,2025,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.592753,104.8304,China,2025,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.557482,104.812312,China,2025,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor whitei Lydekker, 1907",27.589633,89.79373,Bhutan,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.58422,104.799731,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
Budorcas taxicolor taxicolor,29.077591,96.170218,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.596272,104.821481,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.401825,104.775921,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.580015,104.757222,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.577436,104.748882,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.579742,104.755374,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.661877,104.77597,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.728676,104.782491,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.71126,104.804464,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.693031,104.817654,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.702277,104.819833,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
Budorcas taxicolor taxicolor,29.394414,96.067642,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.565328,104.802946,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.568366,104.791762,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.573302,104.76438,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
Budorcas taxicolor taxicolor,29.086753,96.120362,India,2023,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",33.614794,107.500342,China,2023,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.573961,104.776561,China,2023,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor whitei Lydekker, 1907",27.586747,89.797959,Bhutan,2023,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",27.457714,89.685906,Bhutan,2023,iNaturalist research-grade observations,HUMAN_OBSERVATION
Budorcas taxicolor taxicolor,27.432937,89.650136,Bhutan,2023,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.25339,106.193494,China,2023,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.56602,104.786911,China,2022,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor whitei Lydekker, 1907",27.530425,89.785001,Bhutan,2022,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",28.463605,86.582406,China,2022,Unknown,MATERIAL_CITATION
"Budorcas taxicolor Hodgson, 1850",28.891056,95.114199,India,2022,Unknown,MATERIAL_CITATION
"Budorcas taxicolor Hodgson, 1850",28.937124,94.510118,India,2022,Unknown,MATERIAL_CITATION
"Budorcas taxicolor whitei Lydekker, 1907",27.41714,89.69245,Bhutan,2022,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.484275,104.719545,China,2021,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor whitei Lydekker, 1907",27.650342,90.309252,Bhutan,2021,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor whitei Lydekker, 1907",27.65728,90.26122,Bhutan,2021,Unknown,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",27.347747,93.079564,India,2021,Unknown,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.579221,104.762192,China,2020,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.602879,105.22637,China,2020,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.599819,104.798771,China,2019,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.599819,104.798771,China,2019,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.581261,104.800754,China,2019,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2019,Unknown,PRESERVED_SPECIMEN
"Budorcas tibetana (Milne-Edwards, 1874)",32.577681,104.763804,China,2019,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.578397,104.756451,China,2019,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.513542,104.702929,China,2019,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",31.135888,103.077758,China,2018,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.705441,105.012674,China,2018,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",31.21925,103.113209,China,2018,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",31.220424,103.113209,China,2018,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",31.225122,103.109089,China,2018,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",33.913576,102.966368,China,2018,iNaturalist research-grade observations,HUMAN_OBSERVATION
