species,latitude,longitude,country,year,dataset,basisOfRecord
"Bubalus bubalis (Linnaeus, 1758)",22.243962,114.145381,Hong Kong,2025,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",30.935392,46.97005,Iraq,2025,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus arnee (Kerr, 1792)",6.441088,81.230982,Sri Lanka,2025,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",24.979317,121.924688,Chinese Taipei,2025,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",25.85713,85.12282,India,2025,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",4.061408,97.32723,Indonesia,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",13.599572,103.967103,Cambodia,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",15.282241,73.945213,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",17.452027,104.910669,Lao People’s Democratic Republic,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",10.098259,76.364893,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",18.567924,98.56561,Thailand,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",8.287933,98.277453,Thailand,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",-8.654371,119.718619,Indonesia,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",-8.658667,119.718121,Indonesia,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",12.205604,77.605111,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",12.967778,80.219844,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus arnee (Kerr, 1792)",6.441174,81.44157,Sri Lanka,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",6.295734,81.2693,Sri Lanka,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus arnee (Kerr, 1792)",26.619425,93.208909,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus arnee (Kerr, 1792)",26.718921,93.396964,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus arnee (Kerr, 1792)",26.740553,93.296473,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus arnee (Kerr, 1792)",26.568288,93.346231,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus bubalis (Linnaeus, 1758)",18.656111,98.684722,Thailand,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus arnee (Kerr, 1792)",6.520108,80.879617,Sri Lanka,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bubalus arnee (Kerr, 1792)",26.729867,93.270659,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
