species,latitude,longitude,country,year,dataset,basisOfRecord
"Bos mutus (Przewalski, 1883)",38.676019,97.981684,China,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",34.850649,94.855261,China,2023,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",35.077234,94.860285,China,2023,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",37.611137,90.274322,China,2023,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",37.006476,90.402566,China,2023,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",35.903141,93.830318,China,2022,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",35.496899,93.911569,China,2022,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",35.728991,91.158546,China,2022,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",35.782087,91.022599,China,2022,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",51.52077,2.852428,Belgium,2021,eDNA from water column to characterise fish and invertebrate communities from 30 sites in the Belgian Part of the North Sea -12S,MATERIAL_SAMPLE
"Bos mutus (Przewalski, 1883)",51.52077,2.852428,Belgium,2021,eDNA from water column to characterise fish and invertebrate communities from 30 sites in the Belgian Part of the North Sea -12S,MATERIAL_SAMPLE
"Bos mutus (Przewalski, 1883)",34.752601,94.457298,China,2020,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",35.491632,93.959047,China,2018,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",35.738466,96.474572,China,2018,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",35.35267,94.013992,China,2016,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",34.023705,77.901788,India,2014,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos mutus (Przewalski, 1883)",32,88,China,1915,Unknown,PRESERVED_SPECIMEN
