species,latitude,longitude,country,year,dataset,basisOfRecord
"Bos indicus Linnaeus, 1758",19.156345,-104.375624,Mexico,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",11.482012,-85.557679,Nicaragua,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",27.4169,76.000739,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",11.803905,76.688003,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",23.223508,69.738064,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",26.488582,74.550942,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",21.084285,70.794441,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",21.115815,82.670326,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",-17.910917,-63.165436,Bolivia (Plurinational State of),2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",9.453153,100.001847,Thailand,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",9.348607,-82.208918,Panama,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",9.196,-79.538462,Panama,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",17.406498,78.477244,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",15.818094,102.594167,Thailand,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",27.204067,77.506608,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",13.723546,120.907304,Philippines,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",7.441803,125.825225,Philippines,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",20.290673,85.773581,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",22.51625,114.068924,Hong Kong,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",22.360316,114.152395,Hong Kong,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",20.442361,85.906985,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",22.408846,114.13795,Hong Kong,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",20.445305,85.907083,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",5.196654,96.912864,Indonesia,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",20.610654,-103.432874,Mexico,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",18.129136,-66.013642,Puerto Rico,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",27.419941,76.003437,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",18.542767,100.787396,Thailand,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",18.542814,100.786636,Thailand,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",12.299995,76.888137,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",4.943792,102.201028,Malaysia,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",17.947003,-92.971917,Mexico,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",4.56245,103.308924,Malaysia,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",4.695135,96.749399,Indonesia,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",14.184667,74.800728,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",14.184658,74.800713,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",13.275483,75.34407,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",13.864947,74.8143,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",14.543592,74.31845,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",12.663803,75.613953,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",-12.557106,131.297354,Australia,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",-18.372856,-52.662501,Brazil,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",22.416066,114.275758,Hong Kong,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",12.986203,80.192437,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",27.215182,77.502999,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",20.464794,85.911773,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",10.341113,-85.823097,Costa Rica,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",6.457351,3.240463,Nigeria,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",-20.457841,-55.827655,Brazil,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",13.827928,121.136004,Philippines,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",28.613876,77.208828,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",19.796143,85.826514,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",18.037702,100.109771,Thailand,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",27.097406,77.672242,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",27.183757,77.515656,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",-23.860438,141.021802,Australia,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",-3.373788,37.054002,"Tanzania, United Republic of",2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",-17.71664,-57.383413,Brazil,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",13.976547,102.760228,Thailand,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",-14.667235,143.586605,Australia,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",15.459222,73.997659,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",14.887093,100.420473,Thailand,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",-15.681032,131.130853,Australia,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",7.74982,98.779442,Thailand,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",29.72465,76.124236,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",-16.083577,128.395247,Australia,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Bos indicus Linnaeus, 1758",30.124579,78.323018,India,2024,iNaturalist research-grade observations,HUMAN_OBSERVATION
