FamilyID	water_buffalo	wild_yak	takin
fam1	50	12	1
fam2	21	23	16
fam3	4	19	36
fam4	1	25	31
fam5	16	25	16
fam6	13	24	16
fam7	3	25	24
fam8	13	21	17
fam9	1	25	25
fam10	7	25	17
fam11	1	25	22
fam12	16	16	16
fam13	14	20	13
fam14	7	17	22
fam15	12	18	15
fam16	18	25	1
fam17	1	24	17
fam18	7	19	15
fam19	4	17	19
fam20	9	16	15
fam21	2	28	10
fam22	7	22	11
fam23	12	20	7
fam24	1	25	13
fam25	8	17	13
fam26	12	15	10
fam27	5	19	13
fam28	2	17	18
fam29	10	14	13
fam30	2	23	12
fam31	1	21	15
fam32	7	7	23
fam33	1	18	17
fam34	13	12	11
fam35	5	25	6
fam36	2	16	17
fam37	1	16	18
fam38	6	17	12
fam39	2	10	23
fam40	10	11	13
fam41	1	17	16
fam42	1	21	12
fam43	11	11	12
fam44	1	17	15
fam45	2	19	11
fam46	9	11	12
fam47	1	13	18
fam48	5	14	13
fam49	2	15	14
fam50	9	15	7
fam51	9	12	10
fam52	7	14	10
fam53	8	14	9
fam54	1	15	15
fam55	7	16	8
fam56	4	17	10
fam57	11	10	9
fam58	7	12	11
fam59	5	12	13
fam60	17	5	8
fam61	1	19	10
fam62	9	20	1
fam63	1	13	16
fam64	4	14	12
fam65	5	9	16
fam66	1	17	12
fam67	7	11	11
fam68	6	10	13
fam69	1	15	13
fam70	1	19	9
fam71	3	16	10
fam72	7	10	12
fam73	9	10	9
fam74	7	11	10
fam75	6	14	8
fam76	1	20	7
fam77	7	20	1
fam78	8	19	1
fam79	1	15	12
fam80	4	10	14
fam81	6	13	9
fam82	10	5	12
fam83	5	13	9
fam84	1	13	13
fam85	9	10	8
fam86	1	17	9
fam87	1	17	9
fam88	3	11	13
fam89	1	3	23
fam90	9	10	8
fam91	24	1	2
fam92	5	11	10
fam93	11	9	6
fam94	3	12	11
fam95	4	10	12
fam96	3	13	10
fam97	1	12	13
fam98	1	14	11
fam99	1	14	11
fam100	1	11	14
fam101	1	10	15
fam102	1	16	9
fam103	7	18	1
fam104	3	12	11
fam105	3	14	9
fam106	3	15	8
fam107	5	16	5
fam108	6	11	9
fam109	9	9	7
fam110	9	8	8
fam111	3	11	11
fam112	4	11	10
fam113	9	6	10
fam114	3	10	12
fam115	3	16	6
fam116	1	9	15
fam117	1	7	17
fam118	2	17	6
fam119	1	17	7
fam120	1	17	7
fam121	1	14	10
fam122	6	9	10
fam123	1	13	11
fam124	5	11	9
fam125	7	11	7
fam126	8	10	7
fam127	1	10	14
fam128	1	15	9
fam129	8	9	7
fam130	5	9	10
fam131	7	8	9
fam132	3	8	13
fam133	1	10	13
fam134	13	5	6
fam135	4	14	6
fam136	1	6	17
fam137	5	13	6
fam138	3	18	3
fam139	3	17	4
fam140	4	8	12
fam141	1	13	10
fam142	1	11	12
fam143	1	11	12
fam144	7	8	8
fam145	9	5	9
fam146	1	11	11
fam147	1	11	11
fam148	10	12	1
fam149	1	12	10
fam150	2	13	8
fam151	1	10	12
fam152	1	14	8
fam153	4	15	4
fam154	3	9	11
fam155	1	15	7
fam156	6	10	7
fam157	5	1	17
fam158	1	11	11
fam159	5	9	9
fam160	16	5	2
fam161	2	20	1
fam162	1	11	11
fam163	6	8	8
fam164	7	7	8
fam165	7	9	6
fam166	3	10	9
fam167	4	10	8
fam168	10	7	5
fam169	1	11	10
fam170	1	11	10
fam171	1	12	9
fam172	1	12	9
fam173	3	7	12
fam174	2	7	13
fam175	1	13	8
fam176	1	14	7
fam177	4	4	14
fam178	1	5	16
fam179	2	6	14
fam180	7	10	5
fam181	2	10	10
fam182	1	10	11
fam183	4	11	7
fam184	6	9	6
fam185	2	10	9
fam186	3	10	8
fam187	4	7	10
fam188	10	4	7
fam189	6	5	10
fam190	10	8	3
fam191	1	11	9
fam192	2	8	11
fam193	1	11	9
fam194	1	9	11
fam195	2	7	12
fam196	5	8	8
fam197	1	13	7
