FamilyID	wild_yak	takin	water_buffalo
fam1	12	1	50
fam2	23	16	21
fam3	19	36	4
fam4	25	31	1
fam5	25	16	16
fam6	24	16	13
fam7	25	24	3
fam8	21	17	13
fam9	25	25	1
fam10	25	17	7
fam11	25	22	1
fam12	16	16	16
fam13	20	13	14
fam14	17	22	7
fam15	18	15	12
fam16	25	1	18
fam17	24	17	1
fam18	19	15	7
fam19	17	19	4
fam20	16	15	9
fam21	28	10	2
fam22	22	11	7
fam23	20	7	12
fam24	25	13	1
fam25	17	13	8
fam26	15	10	12
fam27	19	13	5
fam28	17	18	2
fam29	14	13	10
fam30	23	12	2
fam31	21	15	1
fam32	7	23	7
fam33	18	17	1
fam34	12	11	13
fam35	25	6	5
fam36	16	17	2
fam37	16	18	1
fam38	17	12	6
fam39	10	23	2
fam40	11	13	10
fam41	17	16	1
fam42	21	12	1
fam43	11	12	11
fam44	17	15	1
fam45	19	11	2
fam46	11	12	9
fam47	13	18	1
fam48	14	13	5
fam49	15	14	2
fam50	15	7	9
fam51	12	10	9
fam52	14	10	7
fam53	14	9	8
fam54	15	15	1
fam55	16	8	7
fam56	17	10	4
fam57	10	9	11
fam58	12	11	7
fam59	12	13	5
fam60	5	8	17
fam61	19	10	1
fam62	20	1	9
fam63	13	16	1
fam64	14	12	4
fam65	9	16	5
fam66	17	12	1
fam67	11	11	7
fam68	10	13	6
fam69	15	13	1
fam70	19	9	1
fam71	16	10	3
fam72	10	12	7
fam73	10	9	9
fam74	11	10	7
fam75	14	8	6
fam76	20	7	1
fam77	20	1	7
fam78	19	1	8
fam79	15	12	1
fam80	10	14	4
fam81	13	9	6
fam82	5	12	10
fam83	13	9	5
fam84	13	13	1
fam85	10	8	9
fam86	17	9	1
fam87	17	9	1
fam88	11	13	3
fam89	3	23	1
fam90	10	8	9
fam91	1	2	24
fam92	11	10	5
fam93	9	6	11
fam94	12	11	3
fam95	10	12	4
fam96	13	10	3
fam97	12	13	1
fam98	14	11	1
fam99	14	11	1
fam100	11	14	1
fam101	10	15	1
fam102	16	9	1
fam103	18	1	7
fam104	12	11	3
fam105	14	9	3
fam106	15	8	3
fam107	16	5	5
fam108	11	9	6
fam109	9	7	9
fam110	8	8	9
fam111	11	11	3
fam112	11	10	4
fam113	6	10	9
fam114	10	12	3
fam115	16	6	3
fam116	9	15	1
fam117	7	17	1
fam118	17	6	2
fam119	17	7	1
fam120	17	7	1
fam121	14	10	1
fam122	9	10	6
fam123	13	11	1
fam124	11	9	5
fam125	11	7	7
fam126	10	7	8
fam127	10	14	1
fam128	15	9	1
fam129	9	7	8
fam130	9	10	5
fam131	8	9	7
fam132	8	13	3
fam133	10	13	1
fam134	5	6	13
fam135	14	6	4
fam136	6	17	1
fam137	13	6	5
fam138	18	3	3
fam139	17	4	3
fam140	8	12	4
fam141	13	10	1
fam142	11	12	1
fam143	11	12	1
fam144	8	8	7
fam145	5	9	9
fam146	11	11	1
fam147	11	11	1
fam148	12	1	10
fam149	12	10	1
fam150	13	8	2
fam151	10	12	1
fam152	14	8	1
fam153	15	4	4
fam154	9	11	3
fam155	15	7	1
fam156	10	7	6
fam157	1	17	5
fam158	11	11	1
fam159	9	9	5
fam160	5	2	16
fam161	20	1	2
fam162	11	11	1
fam163	8	8	6
fam164	7	8	7
fam165	9	6	7
fam166	10	9	3
fam167	10	8	4
fam168	7	5	10
fam169	11	10	1
fam170	11	10	1
fam171	12	9	1
fam172	12	9	1
fam173	7	12	3
fam174	7	13	2
fam175	13	8	1
fam176	14	7	1
fam177	4	14	4
fam178	5	16	1
fam179	6	14	2
fam180	10	5	7
fam181	10	10	2
fam182	10	11	1
fam183	11	7	4
fam184	9	6	6
fam185	10	9	2
fam186	10	8	3
fam187	7	10	4
fam188	4	7	10
fam189	5	10	6
fam190	8	3	10
