FamilyID	wild_yak	takin	water_buffalo	mean	std	cv	max	min	range
fam1	50	12	2	21.333333333333332	25.32455988429677	1.1870887445764113	50	2	48
fam2	21	23	16	20.0	3.605551275463989	0.18027756377319945	23	16	7
fam3	4	19	36	19.666666666666668	16.010413278030438	0.8140888107473103	36	4	32
fam4	2	25	31	19.333333333333332	15.30795000427338	0.7917905174624162	31	2	29
fam5	16	25	16	19.0	5.196152422706632	0.27348170645824377	25	16	9
fam6	13	24	16	17.666666666666668	5.686240703077327	0.3218626813062638	24	13	11
fam7	3	25	24	17.333333333333332	12.423096769056148	0.7167171212917008	25	3	22
fam8	13	21	17	17.0	4.0	0.23529411764705882	21	13	8
fam9	2	25	25	17.333333333333332	13.279056191361391	0.7660993956554649	25	2	23
fam10	7	25	17	16.333333333333332	9.018499505645789	0.5521530309579055	25	7	18
fam11	2	25	22	16.333333333333332	12.503332889007368	0.7655101768780022	25	2	23
fam12	16	16	16	16.0	0.0	0.0	16	16	0
fam13	14	20	13	15.666666666666666	3.7859388972001824	0.24165567428937335	20	13	7
fam14	7	17	22	15.333333333333334	7.637626158259733	0.4981060537995478	22	7	15
fam15	12	18	15	15.0	3.0	0.2	18	12	6
fam16	18	25	2	15.0	11.789826122551595	0.7859884081701064	25	2	23
fam17	2	24	17	14.333333333333334	11.239810200058244	0.7841728046552263	24	2	22
fam18	7	19	15	13.666666666666666	6.110100926607787	0.44708055560544785	19	7	12
fam19	4	17	19	13.333333333333334	8.144527815247079	0.6108395861435308	19	4	15
fam20	9	16	15	13.333333333333334	3.7859388972001824	0.28394541729001366	16	9	7
fam21	2	28	10	13.333333333333334	13.316656236958785	0.9987492177719088	28	2	26
fam22	7	22	11	13.333333333333334	7.767453465154029	0.5825590098865522	22	7	15
fam23	12	20	7	13.0	6.557438524302	0.5044183480232308	20	7	13
fam24	2	25	13	13.333333333333334	11.50362261782493	0.8627716963368698	25	2	23
fam25	8	17	13	12.666666666666666	4.509249752822894	0.35599340153864956	17	8	9
fam26	12	15	10	12.333333333333334	2.5166114784235836	0.2040495793316419	15	10	5
fam27	5	19	13	12.333333333333334	7.023769168568493	0.5694947974514994	19	5	14
fam28	2	17	18	12.333333333333334	8.962886439832502	0.7267205221485812	18	2	16
fam29	10	14	13	12.333333333333334	2.0816659994661326	0.16878372968644317	14	10	4
fam30	2	23	12	12.333333333333334	10.503967504392486	0.851673040896688	23	2	21
fam31	2	21	15	12.666666666666666	9.71253485622231	0.7667790675964983	21	2	19
fam32	7	7	23	12.333333333333334	9.237604307034013	0.7489949438135686	23	7	16
fam33	2	18	17	12.333333333333334	8.962886439832502	0.7267205221485812	18	2	16
fam34	13	12	11	12.0	1.0	0.08333333333333333	13	11	2
fam35	5	25	6	12.0	11.269427669584644	0.939118972465387	25	5	20
fam36	2	16	17	11.666666666666666	8.386497083606082	0.7188426071662357	17	2	15
fam37	2	16	18	12.0	8.717797887081348	0.726483157256779	18	2	16
fam38	6	17	12	11.666666666666666	5.507570547286102	0.4720774754816659	17	6	11
fam39	2	10	23	11.666666666666666	10.598742063723098	0.9084636054619798	23	2	21
fam40	10	11	13	11.333333333333334	1.5275252316519468	0.13478163808693647	13	10	3
fam41	2	17	16	11.666666666666666	8.386497083606082	0.7188426071662357	17	2	15
fam42	2	21	12	11.666666666666666	9.504384952922168	0.8146615673933287	21	2	19
fam43	11	11	12	11.333333333333334	0.5773502691896257	0.05094267081084933	12	11	1
fam44	2	17	15	11.333333333333334	8.144527815247077	0.7186348072276832	17	2	15
fam45	2	19	11	10.666666666666666	8.504900548115382	0.7973344263858171	19	2	17
fam46	9	11	12	10.666666666666666	1.5275252316519468	0.14320549046737002	12	9	3
fam47	2	13	18	11.0	8.18535277187245	0.7441229792611318	18	2	16
fam48	5	14	13	10.666666666666666	4.932882862316248	0.46245776834214825	14	5	9
fam49	2	15	14	10.333333333333334	7.234178138070235	0.7000817552971195	15	2	13
fam50	9	15	7	10.333333333333334	4.163331998932265	0.4029030966708644	15	7	8
fam51	9	12	10	10.333333333333334	1.5275252316519468	0.14782502241793033	12	9	3
fam52	7	14	10	10.333333333333334	3.511884584284246	0.33985979847912057	14	7	7
fam53	8	14	9	10.333333333333334	3.214550253664318	0.3110855084191275	14	8	6
fam54	2	15	15	10.666666666666666	7.505553499465135	0.7036456405748565	15	2	13
fam55	7	16	8	10.333333333333334	4.932882862316248	0.47737576086931427	16	7	9
fam56	4	17	10	10.333333333333334	6.506407098647712	0.6296522998691333	17	4	13
fam57	11	10	9	10.0	1.0	0.1	11	9	2
fam58	7	12	11	10.0	2.6457513110645907	0.2645751311064591	12	7	5
fam59	5	12	13	10.0	4.358898943540674	0.4358898943540674	13	5	8
fam60	17	5	8	10.0	6.244997998398398	0.6244997998398398	17	5	12
fam61	2	19	10	10.333333333333334	8.504900548115382	0.8230548917531014	19	2	17
fam62	9	20	2	10.333333333333334	9.073771725877467	0.8781069412139484	20	2	18
fam63	2	13	16	10.333333333333334	7.3711147958319945	0.7133336899192252	16	2	14
fam64	4	14	12	10.0	5.291502622129181	0.5291502622129182	14	4	10
fam65	5	9	16	10.0	5.5677643628300215	0.5567764362830021	16	5	11
fam66	2	17	12	10.333333333333334	7.637626158259733	0.7391251120896516	17	2	15
fam67	7	11	11	9.666666666666666	2.3094010767585034	0.23890355966467278	11	7	4
fam68	6	10	13	9.666666666666666	3.511884584284246	0.3632984052707841	13	6	7
fam69	2	15	13	10.0	7.0	0.7	15	2	13
fam70	2	19	9	10.0	8.54400374531753	0.854400374531753	19	2	17
fam71	3	16	10	9.666666666666666	6.506407098647712	0.6730765964118323	16	3	13
fam72	7	10	12	9.666666666666666	2.5166114784235836	0.2603391184576121	12	7	5
fam73	9	10	9	9.333333333333334	0.5773502691896257	0.06185895741317418	10	9	1
fam74	7	11	10	9.333333333333334	2.0816659994661326	0.22303564279994276	11	7	4
fam75	6	14	8	9.333333333333334	4.163331998932265	0.4460712855998855	14	6	8
fam76	2	20	7	9.666666666666666	9.291573243177568	0.961197232052852	20	2	18
fam77	7	20	2	9.666666666666666	9.29157324317757	0.9611972320528521	20	2	18
fam78	8	19	2	9.666666666666666	8.621678104251709	0.8918977349225906	19	2	17
fam79	2	15	12	9.666666666666666	6.8068592855540455	0.7041578571262807	15	2	13
fam80	4	10	14	9.333333333333334	5.033222956847166	0.5392738882336249	14	4	10
fam81	6	13	9	9.333333333333334	3.511884584284246	0.3762733483161692	13	6	7
fam82	10	5	12	9.0	3.605551275463989	0.40061680838488767	12	5	7
fam83	5	13	9	9.0	4.0	0.4444444444444444	13	5	8
fam84	2	13	13	9.333333333333334	6.3508529610858835	0.680448531544916	13	2	11
fam85	9	10	8	9.0	1.0	0.1111111111111111	10	8	2
fam86	2	17	9	9.333333333333334	7.505553499465135	0.8041664463712644	17	2	15
fam87	2	17	9	9.333333333333334	7.505553499465135	0.8041664463712644	17	2	15
fam88	3	11	13	9.0	5.291502622129181	0.5879447357921312	13	3	10
fam89	2	3	23	9.333333333333334	11.846237095944574	1.2692396888512043	23	2	21
fam90	9	10	8	9.0	1.0	0.1111111111111111	10	8	2
fam91	24	2	2	9.333333333333334	12.701705922171765	1.3608970630898318	24	2	22
fam92	5	11	10	8.666666666666666	3.214550253664318	0.3709096446535752	11	5	6
fam93	11	9	6	8.666666666666666	2.5166114784235836	0.2903782475104135	11	6	5
fam94	3	12	11	8.666666666666666	4.932882862316248	0.569178791805721	12	3	9
fam95	4	10	12	8.666666666666666	4.163331998932265	0.4803844614152614	12	4	8
fam96	3	13	10	8.666666666666666	5.131601439446884	0.5921078583977174	13	3	10
fam97	2	12	13	9.0	6.082762530298219	0.6758625033664688	13	2	11
fam98	2	14	11	9.0	6.244997998398398	0.693888666488711	14	2	12
fam99	2	14	11	9.0	6.244997998398398	0.693888666488711	14	2	12
fam100	2	11	14	9.0	6.244997998398398	0.693888666488711	14	2	12
fam101	2	10	15	9.0	6.557438524302	0.7286042804780001	15	2	13
fam102	2	16	9	9.0	7.0	0.7777777777777778	16	2	14
fam103	7	18	2	9.0	8.18535277187245	0.9094836413191612	18	2	16
fam104	3	12	11	8.666666666666666	4.932882862316248	0.569178791805721	12	3	9
fam105	3	14	9	8.666666666666666	5.507570547286102	0.6354889093022426	14	3	11
fam106	3	15	8	8.666666666666666	6.027713773341708	0.6955054353855817	15	3	12
fam107	5	16	5	8.666666666666666	6.3508529610858835	0.7327907262791404	16	5	11
fam108	6	11	9	8.666666666666666	2.516611478423583	0.29037824751041347	11	6	5
fam109	9	9	7	8.333333333333334	1.1547005383792517	0.13856406460551018	9	7	2
fam110	9	8	8	8.333333333333334	0.5773502691896257	0.06928203230275508	9	8	1
fam111	3	11	11	8.333333333333334	4.618802153517006	0.5542562584220406	11	3	8
fam112	4	11	10	8.333333333333334	3.7859388972001824	0.45431266766402184	11	4	7
fam113	9	6	10	8.333333333333334	2.081665999466133	0.24979991993593595	10	6	4
fam114	3	10	12	8.333333333333334	4.725815626252608	0.567097875150313	12	3	9
fam115	3	16	6	8.333333333333334	6.8068592855540455	0.8168231142664854	16	3	13
fam116	2	9	15	8.666666666666666	6.506407098647712	0.7507392806131975	15	2	13
fam117	2	7	17	8.666666666666666	7.637626158259733	0.881264556722277	17	2	15
fam118	2	17	6	8.333333333333334	7.767453465154029	0.9320944158184834	17	2	15
fam119	2	17	7	8.666666666666666	7.637626158259733	0.881264556722277	17	2	15
fam120	2	17	7	8.666666666666666	7.637626158259733	0.881264556722277	17	2	15
fam121	2	14	10	8.666666666666666	6.110100926607787	0.7050116453778217	14	2	12
fam122	6	9	10	8.333333333333334	2.081665999466133	0.24979991993593595	10	6	4
fam123	2	13	11	8.666666666666666	5.859465277082315	0.6760921473556517	13	2	11
fam124	5	11	9	8.333333333333334	3.055050463303893	0.36660605559646714	11	5	6
fam125	7	11	7	8.333333333333334	2.3094010767585034	0.27712812921102037	11	7	4
fam126	8	10	7	8.333333333333334	1.5275252316519468	0.1833030277982336	10	7	3
fam127	2	10	14	8.666666666666666	6.110100926607786	0.7050116453778216	14	2	12
fam128	2	15	9	8.666666666666666	6.506407098647712	0.7507392806131975	15	2	13
fam129	8	9	7	8.0	1.0	0.125	9	7	2
fam130	5	9	10	8.0	2.6457513110645907	0.33071891388307384	10	5	5
fam131	7	8	9	8.0	1.0	0.125	9	7	2
fam132	3	8	13	8.0	5.0	0.625	13	3	10
fam133	2	10	13	8.333333333333334	5.686240703077327	0.6823488843692792	13	2	11
fam134	13	5	6	8.0	4.358898943540674	0.5448623679425842	13	5	8
fam135	4	14	6	8.0	5.291502622129181	0.6614378277661477	14	4	10
fam136	2	6	17	8.333333333333334	7.767453465154029	0.9320944158184834	17	2	15
fam137	5	13	6	8.0	4.358898943540674	0.5448623679425842	13	5	8
fam138	3	18	3	8.0	8.660254037844387	1.0825317547305484	18	3	15
fam139	3	17	4	8.0	7.810249675906654	0.9762812094883317	17	3	14
fam140	4	8	12	8.0	4.0	0.5	12	4	8
fam141	2	13	10	8.333333333333334	5.686240703077327	0.6823488843692792	13	2	11
fam142	2	11	12	8.333333333333334	5.507570547286102	0.6609084656743321	12	2	10
fam143	2	11	12	8.333333333333334	5.507570547286102	0.6609084656743321	12	2	10
fam144	7	8	8	7.666666666666667	0.5773502691896258	0.07530655685082076	8	7	1
fam145	9	5	9	7.666666666666667	2.309401076758503	0.301226227403283	9	5	4
fam146	2	11	11	8.0	5.196152422706632	0.649519052838329	11	2	9
fam147	2	11	11	8.0	5.196152422706632	0.649519052838329	11	2	9
fam148	10	12	2	8.0	5.291502622129181	0.6614378277661477	12	2	10
fam149	2	12	10	8.0	5.291502622129181	0.6614378277661477	12	2	10
fam150	2	13	8	7.666666666666667	5.507570547286102	0.7183787670373176	13	2	11
fam151	2	10	12	8.0	5.291502622129181	0.6614378277661477	12	2	10
fam152	2	14	8	8.0	6.0	0.75	14	2	12
