FamilyID	wild_yak	takin	water_buffalo	mean	std	cv	max	min	range
fam1	50	12	2	21.333333333333332	25.32455988429677	1.1870887445764113	50	2	48
fam3	4	19	36	19.666666666666668	16.010413278030438	0.8140888107473103	36	4	32
fam4	2	25	31	19.333333333333332	15.30795000427338	0.7917905174624162	31	2	29
fam7	3	25	24	17.333333333333332	12.423096769056148	0.7167171212917008	25	3	22
fam9	2	25	25	17.333333333333332	13.279056191361391	0.7660993956554649	25	2	23
fam10	7	25	17	16.333333333333332	9.018499505645789	0.5521530309579055	25	7	18
fam11	2	25	22	16.333333333333332	12.503332889007368	0.7655101768780022	25	2	23
fam16	18	25	2	15.0	11.789826122551595	0.7859884081701064	25	2	23
fam17	2	24	17	14.333333333333334	11.239810200058244	0.7841728046552263	24	2	22
fam19	4	17	19	13.333333333333334	8.144527815247079	0.6108395861435308	19	4	15
fam21	2	28	10	13.333333333333334	13.316656236958785	0.9987492177719088	28	2	26
fam22	7	22	11	13.333333333333334	7.767453465154029	0.5825590098865522	22	7	15
fam23	12	20	7	13.0	6.557438524302	0.5044183480232308	20	7	13
fam24	2	25	13	13.333333333333334	11.50362261782493	0.8627716963368698	25	2	23
fam27	5	19	13	12.333333333333334	7.023769168568493	0.5694947974514994	19	5	14
fam28	2	17	18	12.333333333333334	8.962886439832502	0.7267205221485812	18	2	16
fam30	2	23	12	12.333333333333334	10.503967504392486	0.851673040896688	23	2	21
fam31	2	21	15	12.666666666666666	9.71253485622231	0.7667790675964983	21	2	19
fam32	7	7	23	12.333333333333334	9.237604307034013	0.7489949438135686	23	7	16
fam33	2	18	17	12.333333333333334	8.962886439832502	0.7267205221485812	18	2	16
fam35	5	25	6	12.0	11.269427669584644	0.939118972465387	25	5	20
fam36	2	16	17	11.666666666666666	8.386497083606082	0.7188426071662357	17	2	15
fam37	2	16	18	12.0	8.717797887081348	0.726483157256779	18	2	16
fam39	2	10	23	11.666666666666666	10.598742063723098	0.9084636054619798	23	2	21
fam41	2	17	16	11.666666666666666	8.386497083606082	0.7188426071662357	17	2	15
fam42	2	21	12	11.666666666666666	9.504384952922168	0.8146615673933287	21	2	19
fam44	2	17	15	11.333333333333334	8.144527815247077	0.7186348072276832	17	2	15
fam45	2	19	11	10.666666666666666	8.504900548115382	0.7973344263858171	19	2	17
fam47	2	13	18	11.0	8.18535277187245	0.7441229792611318	18	2	16
fam49	2	15	14	10.333333333333334	7.234178138070235	0.7000817552971195	15	2	13
fam54	2	15	15	10.666666666666666	7.505553499465135	0.7036456405748565	15	2	13
fam56	4	17	10	10.333333333333334	6.506407098647712	0.6296522998691333	17	4	13
fam60	17	5	8	10.0	6.244997998398398	0.6244997998398398	17	5	12
fam61	2	19	10	10.333333333333334	8.504900548115382	0.8230548917531014	19	2	17
fam62	9	20	2	10.333333333333334	9.073771725877467	0.8781069412139484	20	2	18
fam63	2	13	16	10.333333333333334	7.3711147958319945	0.7133336899192252	16	2	14
fam64	4	14	12	10.0	5.291502622129181	0.5291502622129182	14	4	10
fam65	5	9	16	10.0	5.5677643628300215	0.5567764362830021	16	5	11
fam66	2	17	12	10.333333333333334	7.637626158259733	0.7391251120896516	17	2	15
fam69	2	15	13	10.0	7.0	0.7	15	2	13
fam70	2	19	9	10.0	8.54400374531753	0.854400374531753	19	2	17
fam71	3	16	10	9.666666666666666	6.506407098647712	0.6730765964118323	16	3	13
fam76	2	20	7	9.666666666666666	9.291573243177568	0.961197232052852	20	2	18
fam77	7	20	2	9.666666666666666	9.29157324317757	0.9611972320528521	20	2	18
fam78	8	19	2	9.666666666666666	8.621678104251709	0.8918977349225906	19	2	17
fam79	2	15	12	9.666666666666666	6.8068592855540455	0.7041578571262807	15	2	13
fam80	4	10	14	9.333333333333334	5.033222956847166	0.5392738882336249	14	4	10
fam84	2	13	13	9.333333333333334	6.3508529610858835	0.680448531544916	13	2	11
fam86	2	17	9	9.333333333333334	7.505553499465135	0.8041664463712644	17	2	15
fam87	2	17	9	9.333333333333334	7.505553499465135	0.8041664463712644	17	2	15
fam88	3	11	13	9.0	5.291502622129181	0.5879447357921312	13	3	10
fam89	2	3	23	9.333333333333334	11.846237095944574	1.2692396888512043	23	2	21
fam91	24	2	2	9.333333333333334	12.701705922171765	1.3608970630898318	24	2	22
fam94	3	12	11	8.666666666666666	4.932882862316248	0.569178791805721	12	3	9
fam96	3	13	10	8.666666666666666	5.131601439446884	0.5921078583977174	13	3	10
fam97	2	12	13	9.0	6.082762530298219	0.6758625033664688	13	2	11
fam98	2	14	11	9.0	6.244997998398398	0.693888666488711	14	2	12
fam99	2	14	11	9.0	6.244997998398398	0.693888666488711	14	2	12
fam100	2	11	14	9.0	6.244997998398398	0.693888666488711	14	2	12
fam101	2	10	15	9.0	6.557438524302	0.7286042804780001	15	2	13
fam102	2	16	9	9.0	7.0	0.7777777777777778	16	2	14
fam103	7	18	2	9.0	8.18535277187245	0.9094836413191612	18	2	16
fam104	3	12	11	8.666666666666666	4.932882862316248	0.569178791805721	12	3	9
fam105	3	14	9	8.666666666666666	5.507570547286102	0.6354889093022426	14	3	11
fam106	3	15	8	8.666666666666666	6.027713773341708	0.6955054353855817	15	3	12
fam107	5	16	5	8.666666666666666	6.3508529610858835	0.7327907262791404	16	5	11
fam111	3	11	11	8.333333333333334	4.618802153517006	0.5542562584220406	11	3	8
fam114	3	10	12	8.333333333333334	4.725815626252608	0.567097875150313	12	3	9
fam115	3	16	6	8.333333333333334	6.8068592855540455	0.8168231142664854	16	3	13
fam116	2	9	15	8.666666666666666	6.506407098647712	0.7507392806131975	15	2	13
fam117	2	7	17	8.666666666666666	7.637626158259733	0.881264556722277	17	2	15
fam118	2	17	6	8.333333333333334	7.767453465154029	0.9320944158184834	17	2	15
fam119	2	17	7	8.666666666666666	7.637626158259733	0.881264556722277	17	2	15
fam120	2	17	7	8.666666666666666	7.637626158259733	0.881264556722277	17	2	15
fam121	2	14	10	8.666666666666666	6.110100926607787	0.7050116453778217	14	2	12
fam123	2	13	11	8.666666666666666	5.859465277082315	0.6760921473556517	13	2	11
fam127	2	10	14	8.666666666666666	6.110100926607786	0.7050116453778216	14	2	12
fam128	2	15	9	8.666666666666666	6.506407098647712	0.7507392806131975	15	2	13
fam132	3	8	13	8.0	5.0	0.625	13	3	10
fam133	2	10	13	8.333333333333334	5.686240703077327	0.6823488843692792	13	2	11
fam134	13	5	6	8.0	4.358898943540674	0.5448623679425842	13	5	8
fam135	4	14	6	8.0	5.291502622129181	0.6614378277661477	14	4	10
fam136	2	6	17	8.333333333333334	7.767453465154029	0.9320944158184834	17	2	15
fam137	5	13	6	8.0	4.358898943540674	0.5448623679425842	13	5	8
fam138	3	18	3	8.0	8.660254037844387	1.0825317547305484	18	3	15
fam139	3	17	4	8.0	7.810249675906654	0.9762812094883317	17	3	14
fam140	4	8	12	8.0	4.0	0.5	12	4	8
fam141	2	13	10	8.333333333333334	5.686240703077327	0.6823488843692792	13	2	11
fam142	2	11	12	8.333333333333334	5.507570547286102	0.6609084656743321	12	2	10
fam143	2	11	12	8.333333333333334	5.507570547286102	0.6609084656743321	12	2	10
fam146	2	11	11	8.0	5.196152422706632	0.649519052838329	11	2	9
fam147	2	11	11	8.0	5.196152422706632	0.649519052838329	11	2	9
fam148	10	12	2	8.0	5.291502622129181	0.6614378277661477	12	2	10
fam149	2	12	10	8.0	5.291502622129181	0.6614378277661477	12	2	10
fam150	2	13	8	7.666666666666667	5.507570547286102	0.7183787670373176	13	2	11
fam151	2	10	12	8.0	5.291502622129181	0.6614378277661477	12	2	10
fam152	2	14	8	8.0	6.0	0.75	14	2	12
fam153	4	15	4	7.666666666666667	6.350852961085883	0.8283721253590282	15	4	11
fam154	3	9	11	7.666666666666667	4.163331998932266	0.5430433042085564	11	3	8
fam155	2	15	7	8.0	6.557438524302	0.81967981553775	15	2	13
fam157	5	2	17	8.0	7.937253933193772	0.9921567416492215	17	2	15
fam158	2	11	11	8.0	5.196152422706632	0.649519052838329	11	2	9
fam160	16	5	2	7.666666666666667	7.371114795831994	0.9614497559780861	16	2	14
fam161	2	20	2	8.0	10.392304845413264	1.299038105676658	20	2	18
fam162	2	11	11	8.0	5.196152422706632	0.649519052838329	11	2	9
fam166	3	10	9	7.333333333333333	3.7859388972001824	0.5162643950727521	10	3	7
fam169	2	11	10	7.666666666666667	4.932882862316247	0.64341950378038	11	2	9
fam170	2	11	10	7.666666666666667	4.932882862316247	0.64341950378038	11	2	9
fam171	2	12	9	7.666666666666667	5.131601439446884	0.6693393181887239	12	2	10
fam172	2	12	9	7.666666666666667	5.131601439446884	0.6693393181887239	12	2	10
fam173	3	7	12	7.333333333333333	4.509249752822894	0.6148976935667584	12	3	9
fam174	2	7	13	7.333333333333333	5.507570547286102	0.7510323473571958	13	2	11
fam175	2	13	8	7.666666666666667	5.507570547286102	0.7183787670373176	13	2	11
fam176	2	14	7	7.666666666666667	6.027713773341708	0.7862235356532663	14	2	12
fam177	4	4	14	7.333333333333333	5.773502691896258	0.787295821622217	14	4	10
fam178	2	5	16	7.666666666666667	7.371114795831994	0.9614497559780861	16	2	14
fam179	2	6	14	7.333333333333333	6.110100926607787	0.8331955809010619	14	2	12
fam181	2	10	10	7.333333333333333	4.618802153517007	0.6298366572977737	10	2	8
fam182	2	10	11	7.666666666666667	4.932882862316247	0.64341950378038	11	2	9
fam185	2	10	9	7.0	4.358898943540674	0.6226998490772392	10	2	8
fam186	3	10	8	7.0	3.605551275463989	0.5150787536377127	10	3	7
fam190	10	8	3	7.0	3.605551275463989	0.5150787536377127	10	3	7
fam191	2	11	9	7.333333333333333	4.725815626252608	0.6444294035799011	11	2	9
fam192	2	8	11	7.0	4.58257569495584	0.6546536707079771	11	2	9
fam193	2	11	9	7.333333333333333	4.725815626252608	0.6444294035799011	11	2	9
fam194	2	9	11	7.333333333333333	4.725815626252609	0.6444294035799012	11	2	9
fam195	2	7	12	7.0	5.0	0.7142857142857143	12	2	10
fam197	2	13	7	7.333333333333333	5.507570547286102	0.7510323473571958	13	2	11
fam198	3	13	5	7.0	5.291502622129181	0.7559289460184545	13	3	10
fam199	2	5	15	7.333333333333333	6.8068592855540455	0.9282080843937335	15	2	13
fam200	3	15	3	7.0	6.928203230275509	0.989743318610787	15	3	12
fam201	2	14	5	7.0	6.244997998398398	0.8921425711997711	14	2	12
fam203	2	10	10	7.333333333333333	4.618802153517007	0.6298366572977737	10	2	8
fam204	2	14	5	7.0	6.244997998398398	0.8921425711997711	14	2	12
fam206	6	14	2	7.333333333333333	6.110100926607787	0.8331955809010619	14	2	12
fam208	3	10	8	7.0	3.605551275463989	0.5150787536377127	10	3	7
