Year,Centroid_Lat,Centroid_Lon,Median_Elevation,Year_Num,Distance_Change_km
2009,30.32392142033997,97.6689048545088,4019.0,2009,0.0
2010,30.051585244697865,97.4526991274675,4019.0,2010,36.673819755038224
2011,30.30899381322633,97.4174269500878,4020.0,2011,28.73665349782473
2012,30.348129222314835,97.96099250232078,3977.0,2012,52.45266772721007
2013,29.937557457852467,97.47083527806063,3961.0,2013,65.58768536486464
2014,30.27845654191155,98.0995159662999,3909.0,2014,71.41152565363308
2015,29.53195856850916,97.44051065589724,3716.0,2015,104.39421948588429
2016,29.80445363812465,97.55315687520807,3884.0,2016,32.11338685305662
2017,30.45880986077113,97.6437009128927,4035.0,2017,73.0612382460307
2018,30.550464425248,97.94507366745312,3959.0,2018,30.66257293638043
2019,29.894644465713338,97.3545100964606,3875.0,2019,92.29195472175705
2020,30.373957921444596,97.55192434427308,4093.0,2020,56.436452074429205
2021,30.239190425958437,97.0266507449836,4156.0,2021,52.687680177530325
2022,30.171239571377765,97.09402246138974,4090.0,2022,9.941022410370483
2023,30.328216128594235,97.44860177546931,4077.0,2023,38.30680442937561
2024,30.447932727651253,97.22221774954296,4065.0,2024,25.485757340668826
2050_SSP245,30.48684251859672,96.24104169808,4223.0,2050,94.32164310222974
2050_SSP585,30.596007504878635,95.97247109299484,4256.0,2050,28.471667865697196
