Year,Centroid_Lat,Centroid_Lon,Median_Elevation,Year_Num,Distance_Change_km
2009,33.95732876701108,89.06499779630303,4748.0,2009,0.0
2010,33.98372058733726,88.80149706877765,4752.0,2010,24.527183620012607
2011,33.88769104115461,88.96864364719228,4740.0,2011,18.7687824292981
2012,33.94306078431374,88.85107568627453,4744.0,2012,12.487023637100474
2013,33.91314672308042,88.96452449013076,4743.0,2013,11.002042888022116
2014,33.87606868486809,89.04372328781403,4740.0,2014,8.401284152621765
2015,33.85037212721103,89.28899575679652,4749.0,2015,22.873968705398653
2016,33.897391549134504,89.09851709067313,4751.0,2016,18.378813208835272
2017,33.979592333138754,88.65035363664326,4753.0,2017,42.4246358533412
2018,33.94540009717448,88.65747129927244,4749.0,2018,3.849292047781317
2019,33.951190688548,88.65222607669726,4757.0,2019,0.8047678799368565
2020,34.003271472316904,88.58092947926443,4761.0,2020,8.76245646778463
2021,34.08842942012594,88.48201406892822,4766.0,2021,13.13944923634304
2022,33.96853067484664,88.86801288343558,4759.0,2022,38.04853451763022
2023,33.9644869484518,88.56271768947988,4766.0,2023,28.219249856367096
2024,34.0334574771102,88.8251747621793,4770.0,2024,25.42559484763102
2050_SSP245,34.62656028809263,88.10431946695373,4797.0,2050,93.42975153941546
2050_SSP585,34.749533762125346,87.99820899624072,4809.0,2050,16.752519836484883
