Gene_Product,In_WildYak,In_Takin,In_WaterBuffalo
"hydroxyacylglutathione hydrolase, mitochondrial isoform X1",True,False,True
"primary amine oxidase, liver isozyme isoform X3",False,False,True
COP9 signalosome complex subunit 1 isoform X8,False,False,True
putative killer cell immunoglobulin-like receptor-like protein KIR3DX1 isoform X3,False,False,True
huntingtin-interacting protein 1-related protein isoform X2,True,True,True
collagen alpha-1(XI) chain isoform X3,False,False,True
hephaestin isoform X4,True,False,True
dedicator of cytokinesis protein 5 isoform X2,False,True,True
ATP-binding cassette sub-family C member 11 isoform X2,False,False,True
coiled-coil domain-containing protein 57 isoform X1,True,False,True
syndecan-4,True,True,True
"presequence protease, mitochondrial isoform X3",True,False,True
paired amphipathic helix protein Sin3b isoform X1,False,False,True
non-homologous end-joining factor 1,False,True,True
tight junction protein ZO-2 isoform X4,True,True,True
calcium and integrin-binding family member 2 isoform X1,True,False,True
solute carrier family 49 member A3 isoform X8,False,False,True
peregrin isoform X1,True,True,True
MTRF1L release factor glutamine methyltransferase isoform X8,True,False,False
E3 ubiquitin-protein ligase TRIP12 isoform X12,True,True,True
transmembrane emp24 domain-containing protein 4,True,True,False
placenta growth factor isoform X3,True,False,True
heat shock protein HSP 90-beta,True,True,True
poly(rC)-binding protein 2 isoform X23,False,False,True
"long-chain specific acyl-CoA dehydrogenase, mitochondrial isoform X4",True,False,True
vacuolar fusion protein MON1 homolog B isoform X2,True,False,True
60S ribosomal protein L19 isoform X1,False,True,False
ketohexokinase isoform X4,False,False,True
protein furry homolog isoform X4,False,False,True
telomere length regulation protein TEL2 homolog isoform X2,True,True,True
tudor domain-containing protein 10 isoform X1,False,False,True
arfaptin-1 isoform X5,False,False,True
jhy protein homolog,False,True,True
LOW QUALITY PROTEIN: zinc finger CCCH domain-containing protein 7B,True,False,False
"LOW QUALITY PROTEIN: D-glutamate cyclase, mitochondrial",False,False,True
R3H domain-containing protein 2 isoform X12,False,True,True
hsc70-interacting protein isoform X1,False,True,True
protein RD3-like,True,True,True
olfactory receptor 4F6,True,False,False
TRPM8 channel-associated factor 2 isoform X2,False,False,True
"creatine kinase S-type, mitochondrial",True,True,True
zinc finger protein 782-like,False,True,False
transcription factor ETV6,False,True,False
serpin A3-5,False,False,True
uncharacterized protein LOC102399857,False,False,True
polyserase-2,False,True,True
uncharacterized protein LOC102389985 isoform X2,False,False,True
protein max isoform X5,False,False,True
palmitoyltransferase ZDHHC22,True,True,True
sodium-coupled neutral amino acid transporter 5 isoform X1,True,False,True
guanine nucleotide-binding protein G(olf) subunit alpha isoform X4,True,False,False
sorbin and SH3 domain-containing protein 2 isoform X15,True,False,True
LOW QUALITY PROTEIN: 60S ribosomal protein L5-like,False,True,False
aladin isoform X2,False,False,True
ashwin,True,True,True
mitotic checkpoint serine/threonine-protein kinase BUB1,False,True,False
lutropin-choriogonadotropic hormone receptor,True,True,False
centrosomal protein of 41 kDa isoform X3,True,False,False
endothelin receptor type B,True,True,True
keratin-associated protein 12-1-like,True,True,True
dual specificity protein phosphatase CDC14B isoform X17,False,False,True
regulator of G-protein signaling 9 isoform X11,True,False,False
THO complex subunit 6 homolog isoform X2,False,True,True
disintegrin and metalloproteinase domain-containing protein 17 isoform X3,False,False,True
ADP-ribosylarginine hydrolase,True,False,True
serine/threonine-protein kinase Nek11 isoform X5,True,False,True
general transcription and DNA repair factor IIH helicase subunit XPB,False,False,True
cytochrome P450 3A24 isoform X2,False,False,True
dapper homolog 3,True,True,True
gamma-tubulin complex component 6 isoform X2,False,True,False
INO80 complex subunit C isoform X2,True,False,True
alpha-S1-casein isoform X28,False,False,True
amidophosphoribosyltransferase-like,False,True,False
glycerate kinase isoform X2,True,False,True
peroxiredoxin-like 2C isoform X3,True,False,False
probable ribonuclease ZC3H12D isoform X2,False,False,True
dimethylaniline monooxygenase [N-oxide-forming] 3,False,True,True
LOW QUALITY PROTEIN: aldehyde oxidase 4-like,True,False,False
secernin-2,True,True,True
DNA replication complex GINS protein SLD5 isoform X1,False,False,True
FSD1-like protein isoform X1,True,False,True
lamin,False,True,True
meiotic recombination protein SPO11 isoform X2,True,False,True
transmembrane and immunoglobulin domain-containing protein 1 isoform X1,False,False,True
carbonyl reductase [NADPH] 3,True,True,False
(Lyso)-N-acylphosphatidylethanolamine lipase isoform X1,True,True,True
RNA-binding protein 10 isoform X2,True,True,True
PR domain zinc finger protein 5 isoform X1,True,False,True
BTB/POZ domain-containing protein KCTD8 isoform X1,False,False,True
melanoma inhibitory activity protein 2 isoform X7,True,False,True
SUN domain-containing protein 1 isoform X3,True,False,True
ubiquitin-conjugating enzyme E2 D3,False,False,True
interleukin-22 receptor subunit alpha-1,False,True,False
lymphocyte antigen 96 precursor,False,False,True
vinexin isoform X7,True,True,True
adipocyte plasma membrane-associated protein isoform X3,False,False,True
maleylacetoacetate isomerase isoform X2,True,True,True
bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3,True,True,True
disintegrin and metalloproteinase domain-containing protein 23 isoform X4,False,False,True
putative deoxyribonuclease TATDN1 isoform X3,False,False,True
unconventional myosin-Va isoform X8,False,False,True
reticulon-4 isoform X1,True,False,True
transforming growth factor beta-1 proprotein isoform X4,False,False,True
"indoleamine 2,3-dioxygenase 2 isoform X9",False,False,True
SRSF protein kinase 2,False,True,False
5-hydroxytryptamine receptor 3E isoform X1,True,False,True
pleckstrin homology domain-containing family G member 1 isoform X4,False,False,True
anoctamin-6 isoform X1,True,False,True
tetratricopeptide repeat protein 21A isoform X5,False,False,True
SUMO-specific isopeptidase USPL1 isoform X1,False,False,True
lysophosphatidylcholine acyltransferase 2 isoform X2,True,False,False
uridine diphosphate glucose pyrophosphatase NUDT14 isoform X3,True,False,True
leucine rich adaptor protein 1,True,True,True
vacuolar protein sorting-associated protein 41 homolog,False,True,False
eukaryotic peptide chain release factor subunit 1,True,True,True
zinc transporter ZIP13 isoform X5,False,True,True
uncharacterized protein LOC112582710,False,False,True
complement decay-accelerating factor isoform X19,False,False,True
"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B isoform X1",True,False,True
interferon-related developmental regulator 1 isoform X3,True,False,False
rho GTPase-activating protein 25 isoform X8,False,False,True
serine/threonine-protein phosphatase 1 regulatory subunit 10,True,True,True
microtubule organization protein AKNA isoform X4,False,False,True
LOW QUALITY PROTEIN: zinc finger protein 418-like,False,True,True
zinc finger protein 527,False,True,False
DISP complex protein LRCH3 isoform X5,True,False,True
MORN repeat-containing protein 1 isoform X5,True,False,True
E3 ubiquitin-protein ligase MGRN1 isoform X3,True,True,True
synaptotagmin-11 isoform X3,False,False,True
SLAM family member 8 isoform X3,False,False,True
F-box/WD repeat-containing protein 1A isoform X4,True,False,True
radial spoke head 1 homolog isoform X2,True,False,True
zinc finger protein 830,True,True,True
"glutamate receptor ionotropic, NMDA 2C",False,True,True
microtubule-actin cross-linking factor 1 isoform X5,True,False,True
GRB2-associated-binding protein 1 isoform X2,True,False,True
sorbin and SH3 domain-containing protein 1 isoform X44,True,False,False
STARD3 N-terminal-like protein isoform X1,False,False,True
dynein axonemal heavy chain 10 isoform X2,True,False,False
neuronal calcium sensor 1,True,True,False
plectin isoform X16,False,False,True
ubiquitin-conjugating enzyme E2 R1 isoform X8,False,False,True
proprotein convertase subtilisin/kexin type 4 isoform X1,True,False,True
orexin receptor type 1 isoform X3,False,False,True
transmembrane protein 176B isoform X2,True,False,True
phosphatase and actin regulator 4 isoform X5,True,False,False
protein phosphatase 1L,False,True,False
zinc finger protein 26 isoform X5,True,False,False
ankyrin-1 isoform X5,True,False,True
phosphoribosylformylglycinamidine synthase isoform X3,True,False,True
sorting nexin-22,False,True,True
proline-rich basic protein 1 isoform X1,True,False,True
tyrosine-protein kinase ABL1 isoform X4,False,False,True
urocortin,True,True,True
echinoderm microtubule-associated protein-like 6 isoform X2,False,False,True
exosome complex component RRP40,True,True,False
MAPK/MAK/MRK overlapping kinase isoform X4,True,False,True
obscurin isoform X31,False,True,False
E3 ubiquitin-protein ligase MYCBP2 isoform X9,True,False,True
solute carrier family 25 member 36 isoform X2,True,False,True
protein moonraker isoform X5,False,False,True
breast cancer type 1 susceptibility protein isoform X1,True,False,True
growth arrest-specific protein 7 isoform X4,True,True,True
coiled-coil domain-containing protein 30 isoform X1,False,False,True
phorbol-12-myristate-13-acetate-induced protein 1,True,True,True
ataxin-7 isoform X3,True,False,True
phosphomevalonate kinase isoform X2,True,False,True
immediate early response gene 5-like protein,True,True,True
MLX-interacting protein isoform X1,False,False,True
splicing regulator ARVCF isoform X5,True,True,False
T-complex protein 1 subunit alpha,True,True,True
meiosis initiator protein,True,True,True
putative hydroxypyruvate isomerase isoform X1,True,False,False
serine incorporator 4,True,True,True
ATP synthase subunit C lysine N-methyltransferase isoform X4,True,False,True
LOW QUALITY PROTEIN: hsc70-interacting protein-like,True,False,False
LOW QUALITY PROTEIN: uncharacterized protein C6orf47 homolog,True,False,False
ran-binding protein 3-like isoform X2,True,False,True
mdm2-binding protein isoform X4,False,False,True
partitioning defective 3 homolog B isoform X4,False,False,True
serine/threonine-protein phosphatase 2B catalytic subunit beta isoform isoform X7,True,False,True
DNA (cytosine-5)-methyltransferase 3B isoform X7,False,False,True
acyl-coenzyme A thioesterase 6 isoform X1,True,False,False
guanylyl cyclase C isoform X1,True,False,False
myomesin-3 isoform X1,False,False,True
protein phosphatase 1 regulatory subunit 12A isoform X3,True,False,True
LOW QUALITY PROTEIN: prostaglandin E2 omega-hydroxylase CYP4F21-like,False,True,False
SUMO-activating enzyme subunit 2 isoform X1,False,True,True
serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform isoform X12,False,False,True
olfactory receptor 52D1-like,True,True,True
LOW QUALITY PROTEIN: eukaryotic initiation factor 4A-II,False,False,True
microtubule-associated protein 2 isoform X33,False,False,True
sphingosine kinase 1 isoform X5,True,False,False
"calcium uniporter protein, mitochondrial isoform X2",False,True,True
ankyrin repeat domain-containing protein 29 isoform X3,True,False,True
alpha-ketoglutarate dehydrogenase component 4,True,True,False
olfactory receptor 6C68,True,False,False
rho guanine nucleotide exchange factor 3 isoform X1,True,True,True
fibrosin-1-like protein isoform X5,False,False,True
G patch domain-containing protein 2 isoform X1,True,False,True
cyclin-dependent kinase 20 isoform X11,False,False,True
tripartite motif-containing protein 44 isoform X3,True,False,True
homeobox protein DLX-1 isoform X2,True,False,True
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial isoform X6",False,False,True
protein eva-1 homolog C isoform X1,True,False,True
LOW QUALITY PROTEIN: calmodulin-like protein 3,True,False,False
treacle protein isoform X1,True,False,True
band 4.1-like protein 1 isoform X7,True,False,True
zinc finger protein 432 isoform X2,True,False,False
abl interactor 1 isoform X12,False,False,True
lysine-specific demethylase 2B isoform X6,True,False,True
SH2 domain-containing protein 3A isoform X1,True,False,True
B9 domain-containing protein 1,False,True,False
BTB/POZ domain-containing protein 8,False,True,False
"indoleamine 2,3-dioxygenase 2 isoform X1",False,False,True
transforming acidic coiled-coil-containing protein 1 isoform X10,True,False,True
ubinuclein-1 isoform X2,True,True,True
LOW QUALITY PROTEIN: tyrosine-protein kinase ABL2,True,False,False
helix-loop-helix protein 2,True,True,True
ribosomal protein S6 kinase alpha-2 isoform X1,True,True,True
alpha-S1-casein isoform X26,False,False,True
zinc finger protein 358 isoform X4,False,False,True
phosphoinositide 3-kinase adapter protein 1 isoform X1,False,False,True
protein FAM240B,True,False,True
mapk-regulated corepressor-interacting protein 1 isoform X2,True,True,True
actin filament-associated protein 1,False,True,False
nucleotide sugar transporter SLC35B4,True,False,False
equilibrative nucleoside transporter 4 isoform X2,True,False,True
zinc finger protein 64 isoform X2,True,True,True
golgin subfamily A member 4 isoform X4,False,False,True
large ribosomal subunit protein bL36m,True,False,False
centrosomal protein CEP57L1,False,True,False
kelch-like protein 2 isoform X3,True,False,True
protein scribble homolog isoform X11,False,False,True
tyrosine-protein phosphatase non-receptor type 18 isoform X3,False,False,True
"troponin I, cardiac muscle isoform X2",False,False,True
semaphorin-3B isoform X2,True,True,True
band 4.1-like protein 2 isoform X18,False,False,True
formin-binding protein 1-like isoform X2,True,False,True
hepatoma-derived growth factor isoform X3,True,False,False
sorbin and SH3 domain-containing protein 1 isoform X30,True,False,True
caspase-14,True,True,True
uncharacterized protein C7orf57 homolog,False,True,False
uncharacterized protein C17orf80,False,False,True
TBC1 domain family member 9 isoform X11,False,False,True
transmembrane protein 68 isoform X2,False,False,True
LOW QUALITY PROTEIN: sal-like protein 1,True,False,False
delayed-rectifier potassium channel regulatory subunit KCNS3,True,False,False
histone-lysine N-methyltransferase MECOM isoform X7,True,False,True
insulin-like growth factor-binding protein 5 isoform X2,False,True,False
UPF0461 protein C5orf24 homolog isoform X1,True,True,True
zinc finger protein SNAI3 isoform X1,False,False,True
guanylate kinase isoform X1,True,True,True
centrosomal protein of 152 kDa isoform X8,True,False,True
protein FAM187B-like,False,True,False
tRNA-specific adenosine deaminase 1 isoform X9,True,False,True
CD209 antigen-like protein E isoform X1,False,True,False
C-C chemokine receptor type 10,True,True,True
serine/threonine kinase-like domain-containing protein STKLD1,True,True,False
neuronal PAS domain-containing protein 4,True,True,True
tumor necrosis factor isoform X2,True,False,True
olfactory receptor 10H3,True,False,False
tectonic-like complex member MKS1 isoform X2,True,True,False
E3 SUMO-protein ligase RanBP2-like isoform X2,False,True,False
protein transport protein Sec24D isoform X2,True,False,True
"GDP-mannose 4,6 dehydratase isoform X1",False,False,True
slit homolog 1 protein,True,True,True
transmembrane protein 241 isoform X5,False,False,True
lipase member I,True,True,False
solute carrier organic anion transporter family member 2B1 isoform X3,True,True,True
serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X8,True,False,False
CTD small phosphatase-like protein 2 isoform X2,True,False,True
ATP-dependent RNA helicase DDX25,False,True,False
scavenger receptor cysteine-rich type 1 protein M130,True,False,False
general transcription factor II-I isoform X4,False,False,True
xyloside xylosyltransferase 1 isoform X4,False,False,True
60S ribosomal export protein NMD3,True,True,True
LOW QUALITY PROTEIN: scavenger receptor cysteine-rich domain-containing protein DMBT1,True,False,False
peptidyl-prolyl cis-trans isomerase-like 1 isoform X1,True,False,True
ubiquitin-ribosomal protein eS31 fusion protein,True,False,False
zinc finger protein 282,False,True,False
snRNA-activating protein complex subunit 1,False,True,False
voltage-dependent calcium channel gamma-1 subunit isoform X2,True,False,False
ribonuclease H2 subunit C isoform X5,False,False,True
ena/VASP-like protein isoform X6,False,False,True
ral guanine nucleotide dissociation stimulator isoform X9,False,False,True
migration and invasion-inhibitory protein isoform X5,True,False,True
mitochondria-eating protein,False,True,False
CUGBP Elav-like family member 3 isoform X13,True,False,False
myosin phosphatase Rho-interacting protein isoform X1,True,False,True
olfactomedin-like protein 2A isoform X1,False,False,True
membrane cofactor protein isoform X22,False,False,True
thioredoxin domain-containing protein 6 isoform X1,True,False,True
zinc finger protein 263,True,True,False
transcription factor 15,True,True,True
terminal uridylyltransferase 4 isoform X3,True,False,True
