Orthogroup_ID,Connectivity,Species_Count,Water_Buffalo,Wild_Yak,Takin
3,63,0.186,"XP_052499360.1,XP_052499330.1,XP_052499337.1,XP_052499345.1,XP_052499349.1,XP_052499331.1,XP_052499329.1,XP_052499359.1,XP_052499328.1,XP_052499343.1,XP_052499358.1,XP_052499332.1,XP_052499334.1,XP_052499351.1,XP_052499350.1,XP_052499333.1,XP_052499346.1,XP_052499366.1,XP_052499367.1,XP_052499352.1,XP_052499335.1,XP_052499361.1,XP_052499348.1,XP_052499365.1,XP_052499344.1,XP_052499364.1,XP_052499362.1,XP_052499319.1,XP_052499354.1,XP_052499338.1,XP_052499320.1,XP_052499322.1,XP_052499357.1,XP_052499342.1,XP_052499315.1,XP_052499316.1,XP_052499317.1,XP_052499313.1,XP_052499321.1,XP_052499339.1,XP_052499318.1,XP_052499340.1,XP_052499353.1,XP_052499324.1,XP_052499355.1,XP_052499327.1,XP_052499326.1,XP_052499323.1,XP_052499341.1,XP_052499356.1","XP_045022721.1,XP_045022728.1,XP_045022727.1,XP_045022722.1,XP_045022724.1,XP_045022723.1,XP_045022729.1,XP_045022730.1,XP_045022731.1,XP_045022726.1,XP_045022732.1,XP_045022733.1",XP_070229578.1
3,60,0.526,"XP_052503696.1,XP_052503683.1,XP_052503688.1,XP_052503685.1,XP_052503692.1,XP_052503684.1,XP_052503690.1,XP_052503697.1,XP_052503695.1,XP_052503689.1,XP_052503686.1,XP_052503694.1,XP_052503691.1,XP_052503680.1,XP_052503699.1,XP_052503678.1,XP_052503682.1,XP_052503698.1,XP_052503679.1,XP_052503700.1,XP_052503677.1","XP_045018149.1,XP_045018158.1,XP_045018156.1,XP_045018153.1,XP_045018146.1,XP_045018151.1,XP_045018157.1,XP_045018144.1,XP_006066729.4,XP_045018155.1,XP_045018148.1,XP_045018152.1,XP_045018150.1,XP_045018143.1,XP_045018147.1,XP_045018145.1,XP_045018160.1,XP_045018141.1,XP_045018140.1,XP_045018159.1,XP_045018142.1,XP_045018161.1,XP_045018154.1","XP_070235886.1,XP_005891803.2,XP_070235888.1,XP_070235893.1,XP_070235891.1,XP_070235897.1,XP_070235895.1,XP_070235889.1,XP_070235887.1,XP_070235892.1,XP_070235890.1,XP_070235896.1,XP_070235894.1,XP_070235900.1,XP_070235898.1,XP_070235899.1"
3,59,0.322,"XP_052516686.1,XP_052516687.1,XP_052516688.1,XP_052516689.1","XP_044790959.1,XP_006073054.1,XP_006073053.1,XP_006073052.1,XP_044790965.1,XP_044790964.1,XP_044790963.1,XP_044790962.1,XP_044790961.1,XP_044790960.1,XP_025130093.1,XP_044790958.1,XP_044790957.1,XP_044790956.1,XP_044790955.1,XP_044790954.1,XP_044790953.1,XP_044790952.1,XP_044790951.1","XP_070219823.1,XP_070219848.1,XP_070219847.1,XP_070219846.1,XP_070219845.1,XP_070219844.1,XP_070219842.1,XP_070219841.1,XP_070219840.1,XP_070219839.1,XP_070219838.1,XP_070219836.1,XP_070219835.1,XP_070219833.1,XP_070219822.1,XP_070219824.1,XP_070219825.1,XP_070219826.1,XP_070219827.1,XP_070219829.1,XP_070219830.1,XP_070219831.1,XP_070219832.1,XP_070219834.1,XP_070219828.1,XP_070219859.1,XP_070219858.1,XP_070219857.1,XP_070219856.1,XP_070219855.1,XP_070219854.1,XP_070219853.1,XP_070219852.1,XP_070219851.1,XP_070219850.1,XP_070219849.1"
3,57,0.439,XP_052499174.1,"XP_044799043.1,XP_044799119.1,XP_044799114.1,XP_044799110.1,XP_044799107.1,XP_044799102.1,XP_044799091.1,XP_044799080.1,XP_044799077.1,XP_044799069.1,XP_044799058.1,XP_044799048.1,XP_044799046.1,XP_025141638.1,XP_044799041.1,XP_044799038.1,XP_044799033.1,XP_025141702.1,XP_025141676.1,XP_025141672.1,XP_025141668.1,XP_025141665.1,XP_025141652.1,XP_025141649.1,XP_025141641.1","XP_070227133.1,XP_070227280.1,XP_070227273.1,XP_070227266.1,XP_070227260.1,XP_070227254.1,XP_070227245.1,XP_070227241.1,XP_070227233.1,XP_070227229.1,XP_070227223.1,XP_070227218.1,XP_070227211.1,XP_070227199.1,XP_070227125.1,XP_070227144.1,XP_070227150.1,XP_070227157.1,XP_070227164.1,XP_070227167.1,XP_070227174.1,XP_070227184.1,XP_070227190.1,XP_070227194.1,XP_070227206.1,XP_070227291.1,XP_070227300.1,XP_070227309.1,XP_070227318.1,XP_070227328.1,XP_070227333.1"
3,57,0.274,"XP_052492451.1,XP_052492490.1,XP_052503575.1,XP_052503576.1,XP_052503582.1,XP_052503589.1,XP_052503579.1,XP_052503580.1,XP_052503574.1,XP_052504464.1,XP_052503874.1,XP_052498927.1,XP_052503581.1,XP_052503577.1,XP_052503578.1,XP_052504463.1","XP_006048072.1,XP_044800375.1,XP_006049257.2,XP_044800376.1,XP_044800377.1,XP_044800378.1,XP_025143733.1,XP_044800373.1,XP_044794216.1,XP_025152078.1,XP_006058484.1,XP_006040929.1,XP_006048045.1,XP_006048078.1,XP_045020610.1,XP_006045701.1,XP_044794214.1,XP_044794215.1,XP_025152033.1,XP_044794230.1,XP_006048087.1,XP_006049265.1,XP_006048062.2,XP_006063275.1,XP_006048073.3","XP_005898556.2,XP_005910218.1,XP_070223289.1,XP_005892273.2,XP_005892270.1,XP_014332614.1,XP_070216915.1,XP_070217042.1,XP_070229551.1,XP_070232233.1,XP_005892277.2,XP_005892272.1,XP_014332613.1,XP_070217219.1,XP_070217218.1,XP_005900946.1"
3,53,0.236,"XP_052508326.1,XP_052508328.1,XP_052508331.1,XP_052508333.1,XP_052508321.1,XP_052508322.1,XP_052508325.1,XP_052508332.1,XP_052508324.1,XP_052508330.1,XP_052508327.1,XP_052508329.1,XP_052508323.1","XP_044785109.2,XP_044785110.2,XP_044785083.2,XP_044785078.2,XP_044785079.2,XP_044785085.2,XP_044785080.2,XP_044785077.2,XP_044785081.2,XP_044785088.2,XP_044785082.2,XP_044785090.2,XP_044785106.2,XP_044785105.2,XP_044785084.2,XP_044785091.2,XP_044785107.2,XP_044785108.2,XP_044785089.2,XP_044785086.2,XP_044785087.2,XP_044785095.2,XP_044785102.2,XP_044785099.2","XP_070239476.1,XP_070239466.1,XP_070239462.1,XP_070239463.1,XP_070239464.1,XP_070239465.1,XP_070239467.1,XP_070239473.1,XP_070239468.1,XP_070239470.1,XP_070239475.1,XP_005898998.2,XP_070239472.1,XP_070239471.1,XP_070239469.1,XP_070239478.1"
3,52,0.431,"XP_052508357.1,XP_052508358.1,XP_052508359.1","XP_045018888.1,XP_045018903.1,XP_045018902.1,XP_045018901.1,XP_045018900.1,XP_045018884.1,XP_045018899.1,XP_045018898.1,XP_045018897.1,XP_045018896.1,XP_045018895.1,XP_045018894.1,XP_045018893.1,XP_045018892.1,XP_045018891.1,XP_045018889.1,XP_045018887.1,XP_045018904.1,XP_045018885.1,XP_045018905.1,XP_045018886.1,XP_045018906.1,XP_045018907.1,XP_045018908.1,XP_045018909.1","XP_070240120.1,XP_070240114.1,XP_070240113.1,XP_070240112.1,XP_070240111.1,XP_070240110.1,XP_070240109.1,XP_070240108.1,XP_070240107.1,XP_070240106.1,XP_070240102.1,XP_070240101.1,XP_070240100.1,XP_070240099.1,XP_070240098.1,XP_070240097.1,XP_070240119.1,XP_070240115.1,XP_070240103.1,XP_070240116.1,XP_070240104.1,XP_070240117.1,XP_070240118.1,XP_070240121.1"
3,51,0.544,"XP_052491870.1,XP_052491869.1,XP_052491868.1,XP_052491867.1,XP_052491864.1,XP_052491861.1,XP_052491865.1,XP_052491863.1,XP_052491859.1,XP_052491862.1,XP_052491858.1,XP_052491866.1,XP_052491871.1","XP_025134175.1,XP_025134190.1,XP_025134186.1,XP_025134185.1,XP_006047157.1,XP_025134181.1,XP_025134180.1,XP_006047155.1,XP_025134183.1,XP_025134176.1,XP_025134179.1,XP_025134177.1,XP_025134173.1,XP_006047150.1,XP_044793859.1,XP_025134172.1,XP_025134171.1,XP_025134174.1,XP_025134184.1,XP_025134188.1,XP_025134182.1","XP_070241635.1,XP_070241673.1,XP_070241672.1,XP_070241668.1,XP_070241665.1,XP_070241659.1,XP_070241649.1,XP_070241640.1,XP_070241638.1,XP_070241641.1,XP_070241639.1,XP_070241637.1,XP_070241636.1,XP_070241634.1,XP_070241677.1,XP_070241658.1,XP_070241676.1"
3,51,0.51,XP_052497366.1,"XP_045022481.1,XP_045018128.1,XP_045018089.1,XP_045018050.1,XP_045018020.1,XP_045017975.1,XP_045017928.1,XP_045017895.1,XP_045017841.1,XP_045017803.1,XP_045022688.1,XP_045022572.1,XP_045022520.1,XP_045021931.1,XP_045022450.1,XP_045022400.1,XP_045022334.1,XP_045022276.1,XP_045022248.1,XP_045022216.1,XP_045022172.1,XP_045022138.1,XP_045022099.1,XP_045022040.1,XP_045021989.1","XP_070225772.1,XP_070225853.1,XP_070225846.1,XP_070225840.1,XP_070225833.1,XP_070225825.1,XP_070225821.1,XP_070225814.1,XP_070225806.1,XP_070225800.1,XP_070225790.1,XP_070225788.1,XP_070225778.1,XP_070225697.1,XP_070225767.1,XP_070225763.1,XP_070225758.1,XP_070225752.1,XP_070225742.1,XP_070225735.1,XP_070225730.1,XP_070225722.1,XP_070225714.1,XP_070225709.1,XP_070225702.1"
3,49,0.49,"XP_052519637.1,XP_052519634.1,XP_052519636.1,XP_052519633.1,XP_052519638.1,XP_052519635.1,XP_052519632.1","XP_025132709.1,XP_044792793.1,XP_044792792.1,XP_044792794.1,XP_044792791.1,XP_044792789.1,XP_044792788.1,XP_044792787.1,XP_044792786.1,XP_044792785.1,XP_044792784.1,XP_025132711.1,XP_025132710.1,XP_025132695.1,XP_025132708.1,XP_025132707.1,XP_025132706.1,XP_025132705.1,XP_025132704.1,XP_025132702.1,XP_025132701.1,XP_025132700.1,XP_025132699.1,XP_025132698.1,XP_025132696.1","XP_070221770.1,XP_070221778.1,XP_070221774.1,XP_070221777.1,XP_070221776.1,XP_070221773.1,XP_070221775.1,XP_070221772.1,XP_070221771.1,XP_070221761.1,XP_070221768.1,XP_070221767.1,XP_070221766.1,XP_070221765.1,XP_070221764.1,XP_070221763.1,XP_070221762.1"
