Gene_Product,In_WildYak,In_Takin,In_WaterBuffalo
huntingtin-interacting protein 1-related protein isoform X2,True,True,True
syndecan-4,True,True,True
tight junction protein ZO-2 isoform X4,True,True,True
peregrin isoform X1,True,True,True
E3 ubiquitin-protein ligase TRIP12 isoform X12,True,True,True
heat shock protein HSP 90-beta,True,True,True
telomere length regulation protein TEL2 homolog isoform X2,True,True,True
protein RD3-like,True,True,True
"creatine kinase S-type, mitochondrial",True,True,True
palmitoyltransferase ZDHHC22,True,True,True
ashwin,True,True,True
endothelin receptor type B,True,True,True
keratin-associated protein 12-1-like,True,True,True
dapper homolog 3,True,True,True
secernin-2,True,True,True
(Lyso)-N-acylphosphatidylethanolamine lipase isoform X1,True,True,True
RNA-binding protein 10 isoform X2,True,True,True
vinexin isoform X7,True,True,True
maleylacetoacetate isomerase isoform X2,True,True,True
bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3,True,True,True
leucine rich adaptor protein 1,True,True,True
eukaryotic peptide chain release factor subunit 1,True,True,True
serine/threonine-protein phosphatase 1 regulatory subunit 10,True,True,True
E3 ubiquitin-protein ligase MGRN1 isoform X3,True,True,True
zinc finger protein 830,True,True,True
urocortin,True,True,True
growth arrest-specific protein 7 isoform X4,True,True,True
phorbol-12-myristate-13-acetate-induced protein 1,True,True,True
immediate early response gene 5-like protein,True,True,True
T-complex protein 1 subunit alpha,True,True,True
meiosis initiator protein,True,True,True
serine incorporator 4,True,True,True
olfactory receptor 52D1-like,True,True,True
rho guanine nucleotide exchange factor 3 isoform X1,True,True,True
ubinuclein-1 isoform X2,True,True,True
helix-loop-helix protein 2,True,True,True
ribosomal protein S6 kinase alpha-2 isoform X1,True,True,True
mapk-regulated corepressor-interacting protein 1 isoform X2,True,True,True
zinc finger protein 64 isoform X2,True,True,True
semaphorin-3B isoform X2,True,True,True
caspase-14,True,True,True
UPF0461 protein C5orf24 homolog isoform X1,True,True,True
guanylate kinase isoform X1,True,True,True
C-C chemokine receptor type 10,True,True,True
neuronal PAS domain-containing protein 4,True,True,True
slit homolog 1 protein,True,True,True
solute carrier organic anion transporter family member 2B1 isoform X3,True,True,True
60S ribosomal export protein NMD3,True,True,True
transcription factor 15,True,True,True
adenylate kinase 8 isoform X1,True,True,True
nucleolar and coiled-body phosphoprotein 1 isoform X2,True,True,True
paired box protein Pax-1,True,True,True
insulin-like 3,True,True,True
peroxisomal membrane protein 2,True,True,True
doublesex- and mab-3-related transcription factor B1,True,True,True
short transient receptor potential channel 4-associated protein isoform X1,True,True,True
heterogeneous nuclear ribonucleoprotein Q isoform X4,True,True,True
dedicator of cytokinesis protein 9 isoform X2,True,True,True
transcription factor 20 isoform X2,True,True,True
voltage-dependent calcium channel gamma-3 subunit,True,True,True
nitric oxide synthase-interacting protein,True,True,True
striated muscle preferentially expressed protein kinase isoform X1,True,True,True
calpastatin isoform X4,True,True,True
dual specificity protein phosphatase 2,True,True,True
dual oxidase 1,True,True,True
HSPB1-associated protein 1 isoform X1,True,True,True
solute carrier family 25 member 47,True,True,True
sterile alpha motif domain-containing protein 13 isoform X1,True,True,True
protein FAM167B,True,True,True
carbohydrate sulfotransferase 1,True,True,True
forkhead box protein B1,True,True,True
TBC1 domain family member 16 isoform X1,True,True,True
cyclin-dependent kinase 9,True,True,True
G-protein coupled receptor 26,True,True,True
E3 ubiquitin-protein ligase MIB1,True,True,True
galactose-1-phosphate uridylyltransferase isoform X1,True,True,True
UBX domain-containing protein 1 isoform X2,True,True,True
dual specificity protein phosphatase 10,True,True,True
"alpha-2,8-sialyltransferase 8B",True,True,True
E3 ubiquitin-protein ligase UBR2 isoform X2,True,True,True
taste receptor type 1 member 2,True,True,True
kelch-like protein 30,True,True,True
DDB1- and CUL4-associated factor 8,True,True,True
lysine-specific demethylase 5C isoform X10,True,True,True
F-box only protein 3,True,True,True
glycine N-acyltransferase,True,True,True
"malate dehydrogenase, cytoplasmic",True,True,True
olfactomedin-like protein 2B isoform X2,True,True,True
mediator of RNA polymerase II transcription subunit 25 isoform X2,True,True,True
calpain-15 isoform X1,True,True,True
claudin-12,True,True,True
DENN domain-containing protein 1B isoform X2,True,True,True
E3 ubiquitin-protein ligase SIAH1 isoform X2,True,True,True
pituitary homeobox 2 isoform X1,True,True,True
protein LYRIC isoform X2,True,True,True
keratin-associated protein 21-1-like,True,True,True
transmembrane protein 247,True,True,True
interferon epsilon,True,True,True
"folylpolyglutamate synthase, mitochondrial isoform X2",True,True,True
rab GTPase-binding effector protein 2 isoform X2,True,True,True
"pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",True,True,True
sorting and assembly machinery component 50 homolog,True,True,True
upstream-binding factor 1-like protein 1,True,True,True
spastin isoform X4,True,True,True
bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2 isoform X2,True,True,True
lanosterol 14-alpha demethylase isoform X1,True,True,True
craniofacial development protein 2,True,True,True
paxillin isoform X3,True,True,True
ribonuclease kappa,True,True,True
placenta-specific gene 8 protein,True,True,True
WD repeat-containing protein 37 isoform X2,True,True,True
LOW QUALITY PROTEIN: retrotransposon Gag-like protein 3,True,True,True
transcription initiation factor TFIID subunit 2 isoform X3,True,True,True
pumilio homolog 1 isoform X4,True,True,True
"acetyl-CoA acetyltransferase, cytosolic",True,True,True
ATP-dependent RNA helicase A isoform X2,True,True,True
vacuolar protein sorting-associated protein 4B,True,True,True
early growth response protein 1,True,True,True
DISP complex protein LRCH3 isoform X1,True,True,True
glucose-6-phosphate 1-dehydrogenase isoform X4,True,True,True
SH3 domain-binding protein 4,True,True,True
centrosomal protein of 68 kDa isoform X3,True,True,True
LIM and senescent cell antigen-like-containing domain protein 1 isoform X3,True,True,True
ras-related protein Rab-17 isoform X2,True,True,True
inactive sodium-dependent neutral amino acid transporter B(0)AT3,True,True,True
pleiotropic regulator 1 isoform X1,True,True,True
inositol polyphosphate-4-phosphatase type I A isoform X1,True,True,True
mitochondrial glycine transporter isoform X2,True,True,True
seipin isoform X1,True,True,True
cyclin-dependent kinase 2 isoform X2,True,True,True
FERM and PDZ domain-containing protein 4,True,True,True
U4/U6 small nuclear ribonucleoprotein Prp31,True,True,True
protein phosphatase 1 regulatory subunit 3C,True,True,True
