Gene_Product,In_WildYak,In_Takin,In_WaterBuffalo
integrator complex subunit 3,TRUE,TRUE,TRUE
proline-rich protein PRCC,TRUE,TRUE,TRUE
glutaredoxin-1,TRUE,TRUE,TRUE
T-complex protein 1 subunit theta isoform X2,TRUE,TRUE,TRUE
galectin-8 isoform X2,TRUE,TRUE,TRUE
U11/U12 small nuclear ribonucleoprotein 25 kDa protein,TRUE,TRUE,TRUE
mitotic checkpoint protein BUB3 isoform X2,TRUE,TRUE,TRUE
vacuolar ATPase assembly integral membrane protein VMA21 isoform X2,TRUE,TRUE,TRUE
homeodomain-interacting protein kinase 3 isoform X2,TRUE,TRUE,TRUE
mitochondrial import inner membrane translocase subunit Tim8 B,TRUE,TRUE,TRUE
GSK3B-interacting protein,TRUE,TRUE,TRUE
max-interacting protein 1 isoform X2,TRUE,TRUE,TRUE
cdc42 effector protein 1,TRUE,TRUE,TRUE
arginine-glutamic acid dipeptide repeats protein isoform X2,TRUE,TRUE,TRUE
serine/threonine-protein kinase ULK2 isoform X3,TRUE,TRUE,TRUE
achaete-scute homolog 3,TRUE,TRUE,TRUE
"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",TRUE,TRUE,TRUE
growth arrest and DNA damage-inducible protein GADD45 gamma,TRUE,TRUE,TRUE
WAP four-disulfide core domain protein 1 isoform X1,TRUE,TRUE,TRUE
pre T-cell antigen receptor alpha,TRUE,TRUE,TRUE
serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform isoform X3,TRUE,TRUE,TRUE
maternal embryonic leucine zipper kinase,TRUE,TRUE,TRUE
insulin receptor isoform X3,TRUE,TRUE,TRUE
splicing factor 1 isoform X4,TRUE,TRUE,TRUE
host cell factor 1 isoform X4,TRUE,TRUE,TRUE
bromodomain-containing protein 9 isoform X4,TRUE,TRUE,TRUE
ubiquitin-like modifier-activating enzyme 6,TRUE,TRUE,TRUE
actin-related protein 2/3 complex subunit 1A,TRUE,TRUE,TRUE
dual specificity protein kinase CLK4 isoform X2,TRUE,TRUE,TRUE
putative 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,TRUE,TRUE,TRUE
E3 ubiquitin-protein ligase NEDD4-like isoform X5,TRUE,TRUE,TRUE
transcription factor SOX-7,TRUE,TRUE,TRUE
ubiquitin-associated protein 2-like isoform X12,TRUE,TRUE,TRUE
neural cell adhesion molecule 1 isoform X9,TRUE,TRUE,TRUE
nischarin isoform X2,TRUE,TRUE,TRUE
F-box only protein 40,TRUE,TRUE,TRUE
DNA endonuclease RBBP8,TRUE,TRUE,TRUE
