Gene_Product	In_WildYak	In_Takin	In_WaterBuffalo
solute carrier family 22 member 6 isoform X2	TRUE	FALSE	FALSE
11-beta-hydroxysteroid dehydrogenase 1 isoform X1	TRUE	FALSE	FALSE
N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 isoform X3	FALSE	FALSE	TRUE
uncharacterized protein KIAA2012 homolog isoform X4	TRUE	FALSE	FALSE
unconventional myosin-Ic isoform X2	FALSE	TRUE	TRUE
LOW QUALITY PROTEIN: homeobox protein Hox-B3	TRUE	FALSE	FALSE
integrator complex subunit 3	TRUE	TRUE	TRUE
serine/arginine-rich splicing factor 5 isoform X2	TRUE	FALSE	TRUE
phospholipid transfer protein isoform X1	FALSE	TRUE	TRUE
LIM domain kinase 1	FALSE	TRUE	FALSE
tyrosine-protein phosphatase non-receptor type 13 isoform X6	TRUE	FALSE	TRUE
proline-rich protein PRCC	TRUE	TRUE	TRUE
ladinin-1-like	TRUE	FALSE	TRUE
glutaredoxin-1	TRUE	TRUE	TRUE
ecotropic viral integration site 5 protein homolog isoform X11	FALSE	FALSE	TRUE
receptor-type tyrosine-protein phosphatase delta isoform X20	FALSE	FALSE	TRUE
protein MANBAL	FALSE	TRUE	TRUE
T-complex protein 1 subunit theta isoform X2	TRUE	TRUE	TRUE
nucleosome-remodeling factor subunit BPTF isoform X3	TRUE	FALSE	TRUE
LOW QUALITY PROTEIN: ret finger protein-like 4A-like protein 1	TRUE	FALSE	FALSE
UDP-N-acetylglucosamine transporter TMEM241 isoform X3	TRUE	FALSE	FALSE
galectin-8 isoform X2	TRUE	TRUE	TRUE
homeobox protein OTX2-like	FALSE	TRUE	FALSE
U11/U12 small nuclear ribonucleoprotein 25 kDa protein	TRUE	TRUE	TRUE
sorting nexin-31 isoform X3	TRUE	FALSE	TRUE
transport and Golgi organization protein 6 homolog isoform X3	TRUE	FALSE	TRUE
adenylate kinase 8 isoform X8	FALSE	FALSE	TRUE
protein cornichon homolog 3 isoform X9	TRUE	FALSE	TRUE
rhomboid domain-containing protein 2 isoform X2	TRUE	FALSE	TRUE
uncharacterized protein LOC102392417 isoform X1	FALSE	FALSE	TRUE
stabilizer of axonemal microtubules 5	TRUE	FALSE	FALSE
mitotic checkpoint protein BUB3 isoform X2	TRUE	TRUE	TRUE
vesicle transport through interaction with t-SNAREs homolog 1A isoform X9	FALSE	FALSE	TRUE
copine-2 isoform X1	FALSE	FALSE	TRUE
cilia- and flagella-associated protein 61 isoform X1	TRUE	FALSE	TRUE
tripartite motif-containing protein 15	FALSE	TRUE	FALSE
THAP domain-containing protein 5 isoform X1	TRUE	FALSE	TRUE
alkaline ceramidase 1 isoform X2	FALSE	FALSE	TRUE
gamma-secretase subunit APH-1A	TRUE	FALSE	FALSE
SH3 domain-containing protein 19	TRUE	TRUE	FALSE
amyloid-beta precursor protein isoform X5	FALSE	TRUE	TRUE
mitotic spindle assembly checkpoint protein MAD2B isoform X1	TRUE	FALSE	TRUE
serine/threonine-protein kinase tousled-like 2 isoform X2	TRUE	FALSE	TRUE
catenin alpha-3 isoform X4	FALSE	FALSE	TRUE
regulating synaptic membrane exocytosis protein 1 isoform X36	FALSE	FALSE	TRUE
vacuolar ATPase assembly integral membrane protein VMA21 isoform X2	TRUE	TRUE	TRUE
homeodomain-interacting protein kinase 3 isoform X2	TRUE	TRUE	TRUE
profilin-1 isoform X3	FALSE	TRUE	FALSE
microtubule-associated serine/threonine-protein kinase 4 isoform X19	FALSE	FALSE	TRUE
phospholipid phosphatase-related protein type 1	FALSE	TRUE	TRUE
nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	TRUE	FALSE	TRUE
spexin isoform X6	FALSE	FALSE	TRUE
mitochondrial import inner membrane translocase subunit Tim8 B	TRUE	TRUE	TRUE
DNA helicase MCM8 isoform X4	FALSE	FALSE	TRUE
ataxin-7-like protein 1 isoform X1	TRUE	FALSE	TRUE
deoxyribonuclease TATDN1 isoform X5	TRUE	FALSE	FALSE
GSK3B-interacting protein	TRUE	TRUE	TRUE
"pyruvate carboxylase, mitochondrial"	TRUE	TRUE	FALSE
ubiquitin-like	FALSE	TRUE	FALSE
treacle protein-like	FALSE	TRUE	FALSE
phospholipid phosphatase 5 isoform X7	FALSE	FALSE	TRUE
thymosin beta-4-like	TRUE	FALSE	TRUE
placenta-expressed transcript 1 protein-like	FALSE	TRUE	FALSE
max-interacting protein 1 isoform X2	TRUE	TRUE	TRUE
